Supplier_ID,Supplier_Name,Product,Description,Price,City,Latitude,Longitude
SUP53540,Cyber Tech,PCIe Riser Card,PCIe x16 to x1 Riser Extension Cable 20cm Flexible,1175.24,Indore,22.689567,75.859123
SUP60488,Nexus Enterprises,Mouse Gaming,Gaming Mouse 6400 DPI Optical RGB 7-Button Programmable,1699.93,Visakhapatnam,17.696041,83.173145
SUP80008,Tech Zone,CPU AMD Ryzen 5 5600,AMD Ryzen 5 5600 6-Core 12-Thread Desktop Processor AM4 Socket,12649.02,Thiruvananthapuram,8.534854,76.903652
SUP97747,Global Hub,PSU 750W,750W 80 Plus Gold Certified Fully Modular ATX Power Supply,11975.5,Chandigarh,30.689805,76.824289
SUP66057,Orbit Solutions,RAM DDR5 16GB,16GB DDR5 4800MHz DIMM Next-Gen Memory Module,6819.3,Nagpur,21.192363,79.11904
SUP61876,Indo Depot,CPU Cooler 240mm AIO,240mm All-in-One Liquid CPU Cooler with ARGB Fans,4579.61,Lucknow,26.827161,80.905967
SUP67091,Nexus Suppliers,Network Card 1GbE,PCIe Gigabit Ethernet Network Interface Card with RJ45 Port,1789.91,Bhubaneswar,20.314523,85.818515
SUP38893,Inno Hub,Power Cable,18AWG IEC C13 to 3-Pin Indian Plug Power Cable 1.8m,253.31,Mumbai,19.038204,72.877218
SUP54313,Tech Hub,"Monitor 24"" FHD",24-inch Full HD 1920x1080 IPS LED Monitor 75Hz,11735.8,Kolkata,22.526039,88.404832
SUP67154,Tech Parts,CMOS Battery,CR2032 3V Lithium CMOS Battery for Motherboard/BIOS,57.74,Visakhapatnam,17.662678,83.234752
SUP82132,Global Solutions,CPU Intel Core i5-12400,12th Gen Intel Core i5-12400 6-Core Desktop Processor LGA1700,17638.36,Jaipur,26.893571,75.789307
SUP99065,Orbit Systems,"HDD 2TB 3.5""",2TB 7200RPM 3.5-inch SATA Desktop Hard Disk Drive,4586.61,Bhopal,23.264571,77.381085
SUP81582,Sigma Zone,"Laptop Screen 15.6"" FHD",15.6-inch Full HD IPS Replacement Laptop LCD Display Panel,4212.7,Kochi,9.978158,76.294813
SUP66346,Nexus Hub,Card Reader,Internal Front Panel USB 3.0 Card Reader SD/TF/CF Multi-Format,644.79,Vadodara,22.35115,73.220683
SUP92719,Digital Enterprises,Power Cable,18AWG IEC C13 to 3-Pin Indian Plug Power Cable 1.8m,386.77,Ahmedabad,23.03229,72.613587
SUP61116,Cyber Parts,PCIe Riser Card,PCIe x16 to x1 Riser Extension Cable 20cm Flexible,1146.12,Kochi,9.890049,76.236898
SUP79615,Smart Solutions,"Laptop Screen 15.6"" FHD",15.6-inch Full HD IPS Replacement Laptop LCD Display Panel,4730.41,Surat,21.124723,72.813633
SUP47093,Global Mart,USB Hub 4-Port,USB 3.0 4-Port Hub with Individual Switches and LED Indicators,743.73,Gurugram,28.448368,77.003735
SUP67905,Inno Depot,"Monitor 27"" QHD",27-inch QHD 2560x1440 IPS Monitor 144Hz Gaming Display,20287.32,Vadodara,22.340074,73.166875
SUP64377,Cyber Systems,DC Jack Connector,Laptop DC Power Jack Charging Port Connector with Cable,545.7,Agra,27.154793,78.01237
SUP72746,Inno Systems,PSU 650W,650W 80 Plus Gold Certified Modular ATX Power Supply,8204.36,Nashik,19.961592,73.82002
SUP99974,Digital Distributors,Cabinet Mid Tower,Mid-Tower ATX PC Case with Tempered Glass Side Panel,7704.12,Nashik,19.954955,73.838489
SUP97410,Cyber Systems,RAM DDR4 8GB,8GB DDR4 2666MHz DIMM Desktop Memory Module,1652.54,Patna,25.621324,85.107472
SUP85880,Sigma Solutions,Fan 140mm Case,140mm Silent Case Fan PWM 4-Pin 1200RPM High Airflow,1453.9,Surat,21.120752,72.862646
SUP37742,Inno Systems,CPU Intel Core i7-12700,12th Gen Intel Core i7-12700 12-Core Desktop Processor LGA1700,29465.47,Thiruvananthapuram,8.544786,76.959501
SUP60488,Nexus Enterprises,Cabinet Mid Tower,Mid-Tower ATX PC Case with Tempered Glass Side Panel,5983.63,Visakhapatnam,17.713927,83.175904
SUP22240,Apex Depot,Power Cable,18AWG IEC C13 to 3-Pin Indian Plug Power Cable 1.8m,383.21,Vadodara,22.293047,73.142787
SUP72616,Global Mart,Laptop Keyboard Replacement,OEM Replacement Laptop Keyboard with Backlight US Layout,1129.85,Nashik,20.03381,73.80213
SUP16658,Micro Depot,Mouse Gaming,Gaming Mouse 6400 DPI Optical RGB 7-Button Programmable,917.85,Nagpur,21.12889,79.044556
SUP92213,Apex Traders,"Laptop Screen 15.6"" FHD",15.6-inch Full HD IPS Replacement Laptop LCD Display Panel,7610.44,Guwahati,26.125598,91.718718
SUP27146,Star Distributors,Laptop Battery 4400mAh,Generic Replacement Laptop Battery 14.4V 4400mAh Li-ion,3022.51,Nagpur,21.168761,79.101956
SUP61116,Cyber Parts,PCIe Riser Card,PCIe x16 to x1 Riser Extension Cable 20cm Flexible,1171.86,Kochi,9.969921,76.264521
SUP42953,Orbit Mart,Fan 140mm Case,140mm Silent Case Fan PWM 4-Pin 1200RPM High Airflow,1131.59,Hyderabad,17.346959,78.508024
SUP83579,Orbit Suppliers,"HDD 1TB 3.5""",1TB 7200RPM 3.5-inch SATA Desktop Hard Disk Drive,3551.9,Chennai,13.108779,80.276828
SUP71694,Apex Enterprises,Laptop Hinge Kit,Laptop Screen Hinge Repair Kit Left Right Set OEM Compatible,558.57,Bhopal,23.286997,77.41198
SUP34164,Digital Suppliers,SSD 512GB SATA,512GB 2.5-inch SATA III Solid State Drive,4408.47,Nashik,19.999773,73.782554
SUP28373,Cyber Distributors,RAM Laptop 8GB,8GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,2539.06,Jaipur,26.864942,75.748089
SUP10772,Nova Suppliers,Cabinet Mid Tower,Mid-Tower ATX PC Case with Tempered Glass Side Panel,7335.54,Kochi,9.884343,76.280941
SUP99974,Digital Distributors,CPU Cooler 240mm AIO,240mm All-in-One Liquid CPU Cooler with ARGB Fans,7134,Nashik,19.978936,73.790657
SUP89905,Global Tech,Optical Drive DVD,Internal SATA DVD-RW Optical Drive 24x Read/Write,939.49,Mysuru,12.336557,76.614329
SUP57819,Smart Systems,RAM Laptop 16GB,16GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,5053.2,Bengaluru,12.962638,77.620155
SUP34890,Elite Enterprises,DC Jack Connector,Laptop DC Power Jack Charging Port Connector with Cable,190.67,Surat,21.14308,72.788798
SUP51347,Core Suppliers,SATA Cable,SATA III 6Gbps Data Cable 50cm Right Angle Connector,108.28,Chennai,13.061675,80.236822
SUP10282,Core Suppliers,RAM DDR5 16GB,16GB DDR5 4800MHz DIMM Next-Gen Memory Module,6297.5,Surat,21.21317,72.861912
SUP59797,Global Systems,Cabinet Mini ITX,Mini-ITX Small Form Factor PC Case with USB 3.0 Front Panel,3811.94,Delhi,28.62724,77.246146
SUP16175,Global Distributors,WiFi Card PCIe,PCIe WiFi 6 AX3000 Dual-Band Wireless Network Adapter Bluetooth 5.2,2530.13,Hyderabad,17.415367,78.455357
SUP61645,Nexus Hub,CPU AMD Ryzen 5 5600,AMD Ryzen 5 5600 6-Core 12-Thread Desktop Processor AM4 Socket,11875.35,Thiruvananthapuram,8.563356,76.940534
SUP29769,Apex Components,RAM Laptop 8GB,8GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,2524.7,Agra,27.207444,78.047709
SUP24208,Sigma Components,Motherboard B660M,Intel B660M DDR4 Micro-ATX Motherboard LGA1700 Socket,10766.9,Visakhapatnam,17.6686,83.179505
SUP19880,Inno Tech,PSU 550W,550W 80 Plus Bronze Certified ATX Power Supply Unit,5500.52,Jaipur,26.885194,75.780011
SUP89905,Global Tech,PSU 750W,750W 80 Plus Gold Certified Fully Modular ATX Power Supply,12065.67,Mysuru,12.327601,76.675473
SUP23947,Elite Mart,SATA Cable,SATA III 6Gbps Data Cable 50cm Right Angle Connector,240.69,Pune,18.471095,73.857775
SUP65724,Apex Distributors,RAM Laptop 16GB,16GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,5886.09,Coimbatore,11.008541,76.928011
SUP14067,Apex Enterprises,Power Cable,18AWG IEC C13 to 3-Pin Indian Plug Power Cable 1.8m,361.33,Chandigarh,30.695287,76.763162
SUP77839,Inno Traders,USB Hub 4-Port,USB 3.0 4-Port Hub with Individual Switches and LED Indicators,606.65,Kolkata,22.616891,88.34622
SUP24663,Micro Zone,Cabinet Mini ITX,Mini-ITX Small Form Factor PC Case with USB 3.0 Front Panel,4511.84,Nagpur,21.147679,79.108502
SUP14067,Apex Enterprises,RAM DDR4 16GB,16GB DDR4 3200MHz DIMM Desktop Memory Module,5433.83,Chandigarh,30.719663,76.826578
SUP44099,Core Systems,PSU 650W,650W 80 Plus Gold Certified Modular ATX Power Supply,5528.34,Thiruvananthapuram,8.570345,76.911778
SUP85243,Elite Electronics,M.2 Heatsink,M.2 2280 NVMe SSD Aluminum Heatsink with Thermal Pad,747.1,Nashik,19.997225,73.769888
SUP80236,Smart Enterprises,Motherboard B660M,Intel B660M DDR4 Micro-ATX Motherboard LGA1700 Socket,11642.39,Gurugram,28.437984,76.980289
SUP30676,Inno Mart,RAM Laptop 16GB,16GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,3570.4,Kanpur,26.460856,80.332168
SUP11934,Micro Zone,CMOS Battery,CR2032 3V Lithium CMOS Battery for Motherboard/BIOS,158.14,Jaipur,26.867548,75.765165
SUP61645,Nexus Hub,RAM Laptop 16GB,16GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,3291.49,Thiruvananthapuram,8.564927,76.910556
SUP85456,Core Electronics,CPU Cooler 120mm,120mm Tower CPU Air Cooler with PWM Fan and Heat Pipes,3471.53,Kochi,9.895689,76.266245
SUP92397,Sigma Zone,"Monitor 24"" FHD",24-inch Full HD 1920x1080 IPS LED Monitor 75Hz,12394.16,Delhi,28.662465,77.183206
SUP56566,Prime Depot,CPU Cooler 240mm AIO,240mm All-in-One Liquid CPU Cooler with ARGB Fans,7737.4,Bengaluru,12.988814,77.620762
SUP36071,Indo Systems,CPU Intel Core i5-12400,12th Gen Intel Core i5-12400 6-Core Desktop Processor LGA1700,16932.56,Pune,18.494164,73.879522
SUP87139,Cyber Suppliers,WiFi Card PCIe,PCIe WiFi 6 AX3000 Dual-Band Wireless Network Adapter Bluetooth 5.2,2754.49,Mysuru,12.282578,76.652631
SUP62565,Digital Distributors,CPU AMD Ryzen 5 5600,AMD Ryzen 5 5600 6-Core 12-Thread Desktop Processor AM4 Socket,12284.85,Jaipur,26.925753,75.790877
SUP47093,Global Mart,PSU 750W,750W 80 Plus Gold Certified Fully Modular ATX Power Supply,12479.36,Gurugram,28.418529,77.06013
SUP78522,Rapid Zone,Power Cable,18AWG IEC C13 to 3-Pin Indian Plug Power Cable 1.8m,390.72,Lucknow,26.828778,80.914852
SUP48469,Cyber Distributors,Motherboard B660M,Intel B660M DDR4 Micro-ATX Motherboard LGA1700 Socket,13160.84,Hyderabad,17.339078,78.495789
SUP15383,Nova Parts,Keyboard Mechanical,Mechanical Gaming Keyboard with Cherry MX Switches RGB Backlit,6852.71,Guwahati,26.162256,91.687859
SUP12260,Micro Suppliers,"Monitor 24"" FHD",24-inch Full HD 1920x1080 IPS LED Monitor 75Hz,8541.82,Noida,28.536709,77.36365
SUP54942,Prime Depot,PSU 550W,550W 80 Plus Bronze Certified ATX Power Supply Unit,5109.72,Nagpur,21.160317,79.055637
SUP19099,Star Systems,Laptop Charger 65W,Universal Laptop AC Adapter 65W 19V 3.42A with Multi-Pin Tips,2073.32,Bhopal,23.278994,77.401274
SUP95477,Orbit Mart,"Monitor 27"" QHD",27-inch QHD 2560x1440 IPS Monitor 144Hz Gaming Display,27869.01,Jaipur,26.956073,75.751052
SUP55745,Micro Zone,Laptop Charger 65W,Universal Laptop AC Adapter 65W 19V 3.42A with Multi-Pin Tips,1197.5,Kanpur,26.434007,80.293247
SUP38893,Inno Hub,CPU Cooler 240mm AIO,240mm All-in-One Liquid CPU Cooler with ARGB Fans,8576.28,Mumbai,19.118469,72.915434
SUP66498,Nova Components,SSD 512GB SATA,512GB 2.5-inch SATA III Solid State Drive,4906.21,Ahmedabad,22.998294,72.587398
SUP53025,Star Mart,SSD M.2 SATA 256GB,256GB M.2 2280 SATA III Internal SSD for Laptop/Desktop,2816.59,Bhopal,23.291622,77.41812
SUP86484,Core Systems,RAM DDR5 16GB,16GB DDR5 4800MHz DIMM Next-Gen Memory Module,6217.46,Hyderabad,17.387965,78.460885
SUP86099,Star Solutions,"HDD 1TB 3.5""",1TB 7200RPM 3.5-inch SATA Desktop Hard Disk Drive,2969.6,Visakhapatnam,17.64611,83.258222
SUP67905,Inno Depot,"Monitor 27"" QHD",27-inch QHD 2560x1440 IPS Monitor 144Hz Gaming Display,23443.73,Vadodara,22.347242,73.19451
SUP54236,Core Suppliers,Mouse Gaming,Gaming Mouse 6400 DPI Optical RGB 7-Button Programmable,2385.82,Thiruvananthapuram,8.508003,76.921521
SUP31465,Elite Traders,Mouse Gaming,Gaming Mouse 6400 DPI Optical RGB 7-Button Programmable,2568.29,Guwahati,26.167096,91.775911
SUP47093,Global Mart,RAM Laptop 8GB,8GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,2112.17,Gurugram,28.498209,77.054588
SUP71213,Digital Depot,Laptop Keyboard Replacement,OEM Replacement Laptop Keyboard with Backlight US Layout,1366.95,Jaipur,26.926603,75.745714
SUP99065,Orbit Systems,Motherboard B550,AMD B550 ATX Motherboard AM4 Socket PCIe 4.0,12204.98,Bhopal,23.226063,77.452455
SUP94259,Inno Distributors,Optical Drive DVD,Internal SATA DVD-RW Optical Drive 24x Read/Write,1891.87,Chennai,13.093343,80.22162
SUP45774,Cyber Electronics,SSD 256GB SATA,256GB 2.5-inch SATA III Solid State Drive,2476.84,Kochi,9.891347,76.28365
SUP31643,Star Parts,Power Cable,18AWG IEC C13 to 3-Pin Indian Plug Power Cable 1.8m,172.92,Kolkata,22.523106,88.329981
SUP82603,Apex Hub,RAM DDR4 16GB,16GB DDR4 3200MHz DIMM Desktop Memory Module,2651.74,Kolkata,22.577473,88.38309
SUP51180,Apex Suppliers,CPU Intel Core i5-12400,12th Gen Intel Core i5-12400 6-Core Desktop Processor LGA1700,16934.89,Lucknow,26.861896,80.918627
SUP31643,Star Parts,CMOS Battery,CR2032 3V Lithium CMOS Battery for Motherboard/BIOS,133.13,Kolkata,22.593818,88.337625
SUP10726,Global Tech,Motherboard B660M,Intel B660M DDR4 Micro-ATX Motherboard LGA1700 Socket,9971.36,Coimbatore,10.99934,76.980449
SUP48469,Cyber Distributors,M.2 Heatsink,M.2 2280 NVMe SSD Aluminum Heatsink with Thermal Pad,301.7,Hyderabad,17.399963,78.521622
SUP34164,Digital Suppliers,CPU Intel Core i5-12400,12th Gen Intel Core i5-12400 6-Core Desktop Processor LGA1700,15701.08,Nashik,20.013261,73.796631
SUP46655,Sigma Works,"HDD 2TB 3.5""",2TB 7200RPM 3.5-inch SATA Desktop Hard Disk Drive,6483.17,Noida,28.494867,77.377772
SUP23434,Orbit Traders,RAM DDR4 8GB,8GB DDR4 2666MHz DIMM Desktop Memory Module,1773.19,Mumbai,19.05252,72.852099
SUP46211,Orbit Solutions,Fan 140mm Case,140mm Silent Case Fan PWM 4-Pin 1200RPM High Airflow,1120.9,Noida,28.582801,77.38031
SUP31174,Orbit Tech,SSD 256GB SATA,256GB 2.5-inch SATA III Solid State Drive,2015.49,Pune,18.559605,73.869814
SUP31299,Smart Zone,"HDD 2TB 3.5""",2TB 7200RPM 3.5-inch SATA Desktop Hard Disk Drive,6737,Indore,22.749081,75.857964
SUP67154,Tech Parts,"Monitor 24"" FHD",24-inch Full HD 1920x1080 IPS LED Monitor 75Hz,11079.43,Visakhapatnam,17.69449,83.217752
SUP83579,Orbit Suppliers,Network Card 1GbE,PCIe Gigabit Ethernet Network Interface Card with RJ45 Port,1065.86,Chennai,13.052224,80.292945
SUP42406,Star Tech,Laptop Hinge Kit,Laptop Screen Hinge Repair Kit Left Right Set OEM Compatible,1261.55,Agra,27.154777,77.960532
SUP18564,Core Electronics,Power Cable,18AWG IEC C13 to 3-Pin Indian Plug Power Cable 1.8m,310.84,Nashik,20.012047,73.757511
SUP13278,Star Enterprises,USB Hub 4-Port,USB 3.0 4-Port Hub with Individual Switches and LED Indicators,1347.3,Mumbai,19.120046,72.923093
SUP53540,Cyber Tech,"HDD 1TB 3.5""",1TB 7200RPM 3.5-inch SATA Desktop Hard Disk Drive,3480.54,Indore,22.761086,75.844716
SUP91927,Nexus Depot,SSD 512GB SATA,512GB 2.5-inch SATA III Solid State Drive,5697.8,Rajkot,22.255446,70.845032
SUP44179,Prime Depot,SSD 512GB SATA,512GB 2.5-inch SATA III Solid State Drive,3378.57,Lucknow,26.839518,80.992865
SUP18161,Prime Mart,Fan 140mm Case,140mm Silent Case Fan PWM 4-Pin 1200RPM High Airflow,1412.86,Agra,27.223062,78.043401
SUP51441,Micro Solutions,M.2 Heatsink,M.2 2280 NVMe SSD Aluminum Heatsink with Thermal Pad,618.33,Lucknow,26.826145,80.93471
SUP94080,Zenith Components,"HDD 1TB 3.5""",1TB 7200RPM 3.5-inch SATA Desktop Hard Disk Drive,4086.19,Bhopal,23.295014,77.394292
SUP84341,Rapid Enterprises,Thermal Paste,High-Performance CPU Thermal Compound Paste 4g Syringe,353.2,Chennai,13.049649,80.27638
SUP27342,Nexus Hub,Cabinet Mid Tower,Mid-Tower ATX PC Case with Tempered Glass Side Panel,7223.39,Ahmedabad,23.066115,72.591003
SUP27146,Star Distributors,Laptop Hinge Kit,Laptop Screen Hinge Repair Kit Left Right Set OEM Compatible,504.59,Nagpur,21.152806,79.047918
SUP23473,Nova Tech,Laptop Battery 4400mAh,Generic Replacement Laptop Battery 14.4V 4400mAh Li-ion,1786.25,Indore,22.731101,75.906705
SUP80381,Star Tech,USB Hub 4-Port,USB 3.0 4-Port Hub with Individual Switches and LED Indicators,567.13,Hyderabad,17.349008,78.488533
SUP69473,Star Suppliers,SSD 1TB NVMe,1TB M.2 NVMe PCIe Gen4 Solid State Drive,8591.26,Gurugram,28.497237,77.050677
SUP66148,Nova Traders,"Monitor 24"" FHD",24-inch Full HD 1920x1080 IPS LED Monitor 75Hz,12870.62,Guwahati,26.164202,91.756448
SUP66346,Nexus Hub,Fan 140mm Case,140mm Silent Case Fan PWM 4-Pin 1200RPM High Airflow,1943.61,Vadodara,22.293149,73.160559
SUP77561,Sigma Systems,Laptop Battery 4400mAh,Generic Replacement Laptop Battery 14.4V 4400mAh Li-ion,1481.13,Vadodara,22.338136,73.212211
SUP45697,Elite Hub,CMOS Battery,CR2032 3V Lithium CMOS Battery for Motherboard/BIOS,113.44,Kanpur,26.486607,80.373224
SUP30585,Apex Distributors,PSU 750W,750W 80 Plus Gold Certified Fully Modular ATX Power Supply,11602.46,Rajkot,22.305034,70.802352
SUP55745,Micro Zone,Fan 120mm Case,120mm ARGB Case Fan PWM 4-Pin Connector 1500RPM,1007.41,Kanpur,26.47973,80.346896
SUP80381,Star Tech,USB Hub 4-Port,USB 3.0 4-Port Hub with Individual Switches and LED Indicators,724.24,Hyderabad,17.405197,78.516279
SUP94259,Inno Distributors,Card Reader,Internal Front Panel USB 3.0 Card Reader SD/TF/CF Multi-Format,620.54,Chennai,13.121701,80.2545
SUP78386,Star Hub,Fan 120mm Case,120mm ARGB Case Fan PWM 4-Pin Connector 1500RPM,726.16,Bhubaneswar,20.283658,85.783898
SUP31299,Smart Zone,RAM Laptop 8GB,8GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,2420.36,Indore,22.727428,75.811294
SUP85456,Core Electronics,M.2 Heatsink,M.2 2280 NVMe SSD Aluminum Heatsink with Thermal Pad,857.45,Kochi,9.92776,76.271564
SUP45954,Digital Solutions,PSU 650W,650W 80 Plus Gold Certified Modular ATX Power Supply,5601.34,Gurugram,28.438154,77.035683
SUP40982,Smart Components,CMOS Battery,CR2032 3V Lithium CMOS Battery for Motherboard/BIOS,96.35,Jaipur,26.86545,75.741035
SUP94607,Elite Electronics,RAM DDR4 8GB,8GB DDR4 2666MHz DIMM Desktop Memory Module,1490.25,Lucknow,26.87896,80.932219
SUP11504,Global Depot,Laptop Battery 4400mAh,Generic Replacement Laptop Battery 14.4V 4400mAh Li-ion,2121.8,Hyderabad,17.347706,78.488924
SUP94012,Rapid Traders,RAM Laptop 16GB,16GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,5915.43,Hyderabad,17.411999,78.458282
SUP59735,Star Zone,GPU NVIDIA RTX 3060,NVIDIA GeForce RTX 3060 12GB GDDR6 Graphics Card PCIe 4.0,32514.33,Bengaluru,12.983889,77.553135
SUP19099,Star Systems,CPU AMD Ryzen 5 5600,AMD Ryzen 5 5600 6-Core 12-Thread Desktop Processor AM4 Socket,12850.27,Bhopal,23.215068,77.415735
SUP59192,Core Works,Fan 120mm Case,120mm ARGB Case Fan PWM 4-Pin Connector 1500RPM,1096.22,Guwahati,26.148564,91.749943
SUP42530,Global Parts,CPU Intel Core i7-12700,12th Gen Intel Core i7-12700 12-Core Desktop Processor LGA1700,26574.1,Mysuru,12.318409,76.686985
SUP42406,Star Tech,Laptop Charger 65W,Universal Laptop AC Adapter 65W 19V 3.42A with Multi-Pin Tips,938.69,Agra,27.17833,77.990396
SUP94080,Zenith Components,PCIe Riser Card,PCIe x16 to x1 Riser Extension Cable 20cm Flexible,885.66,Bhopal,23.289419,77.389683
SUP99399,Apex Depot,GPU NVIDIA RTX 3060,NVIDIA GeForce RTX 3060 12GB GDDR6 Graphics Card PCIe 4.0,37059.32,Indore,22.713497,75.815546
SUP94259,Inno Distributors,Thermal Paste,High-Performance CPU Thermal Compound Paste 4g Syringe,199.9,Chennai,13.035235,80.316965
SUP65255,Star Mart,PCIe Riser Card,PCIe x16 to x1 Riser Extension Cable 20cm Flexible,821.55,Thiruvananthapuram,8.557698,76.956197
SUP10282,Core Suppliers,Motherboard B660M,Intel B660M DDR4 Micro-ATX Motherboard LGA1700 Socket,10371.58,Surat,21.161095,72.798429
SUP42406,Star Tech,RAM DDR4 8GB,8GB DDR4 2666MHz DIMM Desktop Memory Module,1527.08,Agra,27.142344,77.983124
SUP89507,Cyber Enterprises,CMOS Battery,CR2032 3V Lithium CMOS Battery for Motherboard/BIOS,88.33,Kolkata,22.577523,88.38536
SUP78522,Rapid Zone,RAM DDR4 8GB,8GB DDR4 2666MHz DIMM Desktop Memory Module,1995.82,Lucknow,26.86272,80.924193
SUP50404,Nova Zone,CPU Intel Core i5-12400,12th Gen Intel Core i5-12400 6-Core Desktop Processor LGA1700,14901.04,Indore,22.765087,75.88149
SUP95426,Digital Tech,Network Card 1GbE,PCIe Gigabit Ethernet Network Interface Card with RJ45 Port,1470.47,Chandigarh,30.738735,76.790572
SUP70515,Smart Solutions,SSD 512GB SATA,512GB 2.5-inch SATA III Solid State Drive,4191.21,Thiruvananthapuram,8.51606,76.911373
SUP58351,Smart Hub,Thermal Paste,High-Performance CPU Thermal Compound Paste 4g Syringe,158.43,Guwahati,26.130097,91.761985
SUP82350,Micro Distributors,CPU Cooler 240mm AIO,240mm All-in-One Liquid CPU Cooler with ARGB Fans,6878.8,Rajkot,22.255339,70.763807
SUP83060,Apex Zone,"Laptop Screen 15.6"" FHD",15.6-inch Full HD IPS Replacement Laptop LCD Display Panel,6380.64,Coimbatore,10.9714,76.909873
SUP69638,Elite Components,Keyboard Mechanical,Mechanical Gaming Keyboard with Cherry MX Switches RGB Backlit,2593.85,Surat,21.205746,72.851466
SUP44179,Prime Depot,RAM Laptop 8GB,8GB DDR4 3200MHz SO-DIMM Laptop Memory Module 260-Pin,2190.15,Lucknow,26.844117,80.905983
SUP12671,Sigma Distributors,SSD 1TB NVMe,1TB M.2 NVMe PCIe Gen4 Solid State Drive,8620.27,Chandigarh,30.732462,76.776747
SUP84341,Rapid Enterprises,Thermal Paste,High-Performance CPU Thermal Compound Paste 4g Syringe,414.99,Chennai,13.05002,80.264085
SUP97062,Rapid Hub,Keyboard Mechanical,Mechanical Gaming Keyboard with Cherry MX Switches RGB Backlit,6417.36,Patna,25.58395,85.149185
SUP59192,Core Works,Motherboard B660M,Intel B660M DDR4 Micro-ATX Motherboard LGA1700 Socket,9998.41,Guwahati,26.158009,91.69073
SUP23947,Elite Mart,Network Card 1GbE,PCIe Gigabit Ethernet Network Interface Card with RJ45 Port,1559.87,Pune,18.507861,73.869286
SUP32810,Sigma Hub,GPU NVIDIA GTX 1650,NVIDIA GeForce GTX 1650 4GB GDDR6 Graphics Card PCIe,17435.54,Patna,25.594414,85.173249
SUP95717,Zenith Solutions,Laptop Hinge Kit,Laptop Screen Hinge Repair Kit Left Right Set OEM Compatible,1454.05,Kanpur,26.465769,80.298193
SUP61116,Cyber Parts,Motherboard B550,AMD B550 ATX Motherboard AM4 Socket PCIe 4.0,8065.42,Kochi,9.888257,76.281542
SUP24322,Apex Enterprises,CPU AMD Ryzen 7 5800X,AMD Ryzen 7 5800X 8-Core 16-Thread Desktop Processor AM4 Socket,26819.19,Jaipur,26.865051,75.795878
SUP13761,Swift Mart,SSD M.2 SATA 256GB,256GB M.2 2280 SATA III Internal SSD for Laptop/Desktop,2150.71,Bhubaneswar,20.340123,85.832047
SUP70910,Nexus Hub,PCIe Riser Card,PCIe x16 to x1 Riser Extension Cable 20cm Flexible,771.16,Bhubaneswar,20.284917,85.838829
